Dataset,Theme,Categories,SubCategories,URL,Date_of_check
"Number Of Part-Time Employed Residents By Sex, End June",Economy & Prices,"Labour, Employment, Wages and Productivity",Employment,https://tablebuilder.singstat.gov.sg/table/TS/M920151,31/03/2024 12:08:59
Re-Entry Into Employment Rate,Economy & Prices,"Labour, Employment, Wages and Productivity",Employment,https://tablebuilder.singstat.gov.sg/table/TS/M181571,31/03/2024 12:08:59
Job Vacancies By Industry And Occupational Group (SSIC 2020) (End Of Period),Economy & Prices,"Labour, Employment, Wages and Productivity",Job Vacancies,https://tablebuilder.singstat.gov.sg/table/TS/M184071,31/03/2024 12:08:59
"Female Residents Aged 15 Years And Over By Labour Force Status And Age Group, End June",Economy & Prices,"Labour, Employment, Wages and Productivity",Labour Force,https://tablebuilder.singstat.gov.sg/table/TS/M182111,31/03/2024 12:08:59
"Female Residents Labour Force Aged 15 Years And Over By Age And Highest Qualification Attained, End June",Economy & Prices,"Labour, Employment, Wages and Productivity",Labour Force,https://tablebuilder.singstat.gov.sg/table/TS/M183681,31/03/2024 12:08:59
"Labour Force Aged 15 Years And Over, End June",Economy & Prices,"Labour, Employment, Wages and Productivity",Labour Force,https://tablebuilder.singstat.gov.sg/table/TS/M182331,31/03/2024 12:08:59
"Male Residents Aged 15 Years And Over By Labour Force Status And Age Group, End June",Economy & Prices,"Labour, Employment, Wages and Productivity",Labour Force,https://tablebuilder.singstat.gov.sg/table/TS/M182101,31/03/2024 12:08:59
"Male Residents Labour Force Aged 15 Years And Over By Age And Highest Qualification Attained, End June",Economy & Prices,"Labour, Employment, Wages and Productivity",Labour Force,https://tablebuilder.singstat.gov.sg/table/TS/M183671,31/03/2024 12:08:59
"Number Of Married Residents In Labour Force Aged 15 Years And Over By Sex, End June",Economy & Prices,"Labour, Employment, Wages and Productivity",Labour Force,https://tablebuilder.singstat.gov.sg/table/TS/M920171,31/03/2024 12:08:59
"Resident Labour Force Aged 15 Years And Over By Highest Qualification Attained And Sex, End June",Economy & Prices,"Labour, Employment, Wages and Productivity",Labour Force,https://tablebuilder.singstat.gov.sg/table/TS/M182271,31/03/2024 12:08:59
"Resident Labour Force Participation Rate Aged 15 Years And Over By Age And Sex, End June",Economy & Prices,"Labour, Employment, Wages and Productivity",Labour Force,https://tablebuilder.singstat.gov.sg/table/TS/M182201,31/03/2024 12:08:59
