Datasets,Data period,Last updated,Datatype,Source,Dataset url,Date_of_check
Libraries,No Date info,Updated 2 years ago,KML,National Library Board (NLB),https://beta.data.gov.sg/datasets/d_cf8500a4a0ca1b7222ebe2a04b34d4b4/view,17/03/2024 20:23:04
Master Plan 2003 Gross Plot Ratio Line,No Date info,Updated 7 months ago,GEOJSON,Urban Redevelopment Authority (URA),https://beta.data.gov.sg/datasets/d_8cd45074bd202c98a14309703496ed63/view,17/03/2024 20:23:04
Master Plan 2003 Gross Plot Ratio Text,No Date info,Updated 7 months ago,GEOJSON,Urban Redevelopment Authority (URA),https://beta.data.gov.sg/datasets/d_cc6c47963a74cb10cccd68829f1b2c28/view,17/03/2024 20:23:04
Master Plan 2003 Conservation Area Text,No Date info,Updated 7 months ago,GEOJSON,Urban Redevelopment Authority (URA),https://beta.data.gov.sg/datasets/d_d52c03795ad70ab5cc25e9f7f4fa9f26/view,17/03/2024 20:23:04
Singapore Police Force - National Day Parade (NDP) 2023 Special Event Area,No Date info,Updated 7 months ago,KML,Singapore Police Force (SPF),https://beta.data.gov.sg/datasets/d_b4711cd222e9379344d42bc66f85963a/view,17/03/2024 20:23:04
Healthier Eateries,No Date info,Updated 3 years ago,KML,Health Promotion Board (HPB),https://beta.data.gov.sg/datasets/d_ebe6b97d504b29424c9a18fa29876d3a/view,17/03/2024 20:23:04
Master Plan 2003 MRT Name,No Date info,Updated 7 months ago,KML,Urban Redevelopment Authority (URA),https://beta.data.gov.sg/datasets/d_bae25854ceba2bdffb3cf157aee123d4/view,17/03/2024 20:23:04
Master Plan 2003 Conservation Area Boundary Line,No Date info,Updated 7 months ago,GEOJSON,Urban Redevelopment Authority (URA),https://beta.data.gov.sg/datasets/d_652d15b0d1de390fe3a0c37971a7fc5b/view,17/03/2024 20:23:04
Singapore Police Force - National Day Parade (NDP) 2022 Special Event Area,,,,,,17/03/2024 20:23:04
Parks,No Date info,Updated 1 year ago,KML,National Parks Board (NPARKS),https://beta.data.gov.sg/datasets/d_e7289d9a50e45bf1174590e184e6631c/view,17/03/2024 20:23:04
LTA Lamp Post,No Date info,Updated 7 months ago,GEOJSON,Land Transport Authority (LTA),https://beta.data.gov.sg/datasets/d_ca109de3e83efdd9a10bc5f3dda70a98/view,17/03/2024 20:23:04
Hotels,No Date info,Updated 7 months ago,GEOJSON,Hotels Licensing Board (HLB),https://beta.data.gov.sg/datasets/d_654e22f14e5bb817423f0e0c9ac4f632/view,17/03/2024 20:23:04
Heritage Trees,No Date info,Updated 7 months ago,GEOJSON,National Parks Board (NPARKS),https://beta.data.gov.sg/datasets/d_644ff187b6d14d6316f47284a4a6c81f/view,17/03/2024 20:23:04
Master Plan 2003 MRT Line,No Date info,Updated 7 months ago,GEOJSON,Urban Redevelopment Authority (URA),https://beta.data.gov.sg/datasets/d_ae38cc7a5c706d33f115bebc01f9e4f7/view,17/03/2024 20:23:04
Fitness and Conditioning Centres (FCC),No Date info,Updated 7 months ago,GEOJSON,https://beta.data.gov.sg/datasets/d_263beaeee450c77eb95c949df5bd274c/view,,17/03/2024 20:23:04
CHAS Clinics,No Date info,Updated 7 months ago,GEOJSON,https://beta.data.gov.sg/datasets/d_548c33ea2d99e29ec63a7cc9edcccedc/view,,17/03/2024 20:23:04
Liquor Control Zone(s) proclaimed under Liquor Control (Supply and Consumption) Act 2015,No Date info,Updated 7 months ago,GEOJSON,Singapore Police Force (SPF),https://beta.data.gov.sg/datasets/d_c73132af6cb61148014f652fe03b51ec/view,17/03/2024 20:23:04
Heritage Road Green Buffers,No Date info,Updated 7 months ago,GEOJSON,National Parks Board (NPARKS),https://beta.data.gov.sg/datasets/d_9233bdb05de067c3b3db21b836467a6a/view,17/03/2024 20:23:04
Protected Area under Section 7 Air Navigation Act,No Date info,Updated 7 months ago,KML,https://beta.data.gov.sg/datasets/d_979a4d24162c348e86cc45ffaaa72c97/view,,17/03/2024 20:23:04
HDB Public Housing Building Under-Construction,No Date info,Updated 7 months ago,GEOJSON,https://beta.data.gov.sg/datasets/d_930e662ac7e141fe3fd2a6efa5216902/view,,17/03/2024 20:23:04
Kindergartens,No Date info,Updated 7 months ago,GEOJSON,Early Childhood Development Agency (ECDA),https://beta.data.gov.sg/datasets/d_7fe9a72b1afff18e48111772c8d0fd39/view,17/03/2024 20:23:04
LTA Road Camera,No Date info,Updated 7 months ago,GEOJSON,Land Transport Authority (LTA),https://beta.data.gov.sg/datasets/d_147f4906651f5b32925dfe6560296161/view,17/03/2024 20:23:04
JTC Building,No Date info,Updated 7 months ago,GEOJSON,https://beta.data.gov.sg/datasets/d_db12567505086c5319ba8b95ff195ba2/view,,17/03/2024 20:23:04
HDB Existing Building,No Date info,Updated 7 months ago,GEOJSON,https://beta.data.gov.sg/datasets/d_16b157c52ed637edd6ba1232e026258d/view,,17/03/2024 20:23:04
JTC Road Kerb Line,No Date info,Updated 7 months ago,GEOJSON,https://beta.data.gov.sg/datasets/d_d37a5c5615eb1d03f2ce8876522414fc/view,,17/03/2024 20:23:04
Infocomm Accessibility,No Date info,Updated 7 months ago,GEOJSON,https://beta.data.gov.sg/datasets/d_b11ee9a784f0f233565946398570f72a/view,,17/03/2024 20:23:04
NAPFA Test Centre,No Date info,Updated 7 months ago,GEOJSON,https://beta.data.gov.sg/datasets/d_fb02554004cad17029a7e68819124973/view,,17/03/2024 20:23:04
Industrial Government Land Sales - Sites,No Date info,Updated 7 months ago,GEOJSON,https://beta.data.gov.sg/datasets/d_a751490a138b40eb13c48b0eb90e5c64/view,,17/03/2024 20:23:04
MP14 SDCP LHA PLAN - Landed Housing Area Text,No Date info,Updated 7 months ago,GEOJSON,Urban Redevelopment Authority (URA),https://beta.data.gov.sg/datasets/d_21f77012b5614b605f1abae0698c60a3/view,17/03/2024 20:23:04
Singapore Police Force - National Day Parade 2022 Special Zone,No Date info,Updated 7 months ago,GEOJSON,Singapore Police Force (SPF),https://beta.data.gov.sg/datasets/d_d3ff68c88202a0a224ad6597270ca9bf/view,17/03/2024 20:23:04
Fire Posts,No Date info,Updated 7 months ago,GEOJSON,Singapore Civil Defence Force (SCDF),https://beta.data.gov.sg/datasets/d_abfa9a38d165ed98d848cb02e9a65268/view,17/03/2024 20:23:04
