Dataset,Theme,Categories,SubCategories,URL,Date_of_check
"Number Of Part-Time Employed Residents By Sex, End June",Economy & Prices,"Labour, Employment, Wages and Productivity",Employment,https://tablebuilder.singstat.gov.sg/table/TS/M920151,17/03/2024 20:28:35
Re-Entry Into Employment Rate,Economy & Prices,"Labour, Employment, Wages and Productivity",Employment,https://tablebuilder.singstat.gov.sg/table/TS/M181571,17/03/2024 20:28:35
Job Vacancies By Industry And Occupational Group (SSIC 2020) (End Of Period),Economy & Prices,"Labour, Employment, Wages and Productivity",Job Vacancies,https://tablebuilder.singstat.gov.sg/table/TS/M184071,17/03/2024 20:28:35
"Female Residents Aged 15 Years And Over By Labour Force Status And Age Group, End June",Economy & Prices,"Labour, Employment, Wages and Productivity",Labour Force,https://tablebuilder.singstat.gov.sg/table/TS/M182111,17/03/2024 20:28:35
"Female Residents Labour Force Aged 15 Years And Over By Age And Highest Qualification Attained, End June",Economy & Prices,"Labour, Employment, Wages and Productivity",Labour Force,https://tablebuilder.singstat.gov.sg/table/TS/M183681,17/03/2024 20:28:35
"Labour Force Aged 15 Years And Over, End June",Economy & Prices,"Labour, Employment, Wages and Productivity",Labour Force,https://tablebuilder.singstat.gov.sg/table/TS/M182331,17/03/2024 20:28:35
"Male Residents Aged 15 Years And Over By Labour Force Status And Age Group, End June",Economy & Prices,"Labour, Employment, Wages and Productivity",Labour Force,https://tablebuilder.singstat.gov.sg/table/TS/M182101,17/03/2024 20:28:35
"Male Residents Labour Force Aged 15 Years And Over By Age And Highest Qualification Attained, End June",Economy & Prices,"Labour, Employment, Wages and Productivity",Labour Force,https://tablebuilder.singstat.gov.sg/table/TS/M183671,17/03/2024 20:28:35
"Number Of Married Residents In Labour Force Aged 15 Years And Over By Sex, End June",Economy & Prices,"Labour, Employment, Wages and Productivity",Labour Force,https://tablebuilder.singstat.gov.sg/table/TS/M920171,17/03/2024 20:28:35
"Resident Labour Force Aged 15 Years And Over By Highest Qualification Attained And Sex, End June",Economy & Prices,"Labour, Employment, Wages and Productivity",Labour Force,https://tablebuilder.singstat.gov.sg/table/TS/M182271,17/03/2024 20:28:35
"Resident Labour Force Participation Rate Aged 15 Years And Over By Age And Sex, End June",Economy & Prices,"Labour, Employment, Wages and Productivity",Labour Force,https://tablebuilder.singstat.gov.sg/table/TS/M182201,17/03/2024 20:28:35
"Total Residents Aged 15 Years And Over By Labour Force Status And Age Group, End June",Economy & Prices,"Labour, Employment, Wages and Productivity",Labour Force,https://tablebuilder.singstat.gov.sg/table/TS/M182091,17/03/2024 20:28:35
"Total Residents Labour Force Aged 15 Years And Over By Age And Highest Qualification Attained, End June",Economy & Prices,"Labour, Employment, Wages and Productivity",Labour Force,https://tablebuilder.singstat.gov.sg/table/TS/M183661,17/03/2024 20:28:35
Usual Hours Worked Per Week And Percentage Of Workers Who Worked At Least 40 Hours Per Week,Economy & Prices,"Labour, Employment, Wages and Productivity",Labour Force,https://tablebuilder.singstat.gov.sg/table/TS/M184091,17/03/2024 20:28:35
Trade Disputes Filed With Ministry Of Manpower,Economy & Prices,"Labour, Employment, Wages and Productivity",Labour Relations,https://tablebuilder.singstat.gov.sg/table/TS/M180091,17/03/2024 20:28:35
Trade Disputes Filed With The Industrial Arbitration Court,Economy & Prices,"Labour, Employment, Wages and Productivity",Labour Relations,https://tablebuilder.singstat.gov.sg/table/TS/M183651,17/03/2024 20:28:35
"Trade Unions And Membership, (At End Of Period)",Economy & Prices,"Labour, Employment, Wages and Productivity",Labour Relations,https://tablebuilder.singstat.gov.sg/table/TS/M180081,17/03/2024 20:28:35
Changes In Value Added Per Actual Hour Worked In Chained (2015) Dollars By Industry,Economy & Prices,"Labour, Employment, Wages and Productivity",Productivity,https://tablebuilder.singstat.gov.sg/table/TS/M015861,17/03/2024 20:28:35
"Changes In Value Added Per Worker At Current Prices, By Industry (SSIC 2020)",Economy & Prices,"Labour, Employment, Wages and Productivity",Productivity,https://tablebuilder.singstat.gov.sg/table/TS/M015821,17/03/2024 20:28:35
"Changes In Value Added Per Worker In Chained (2015) Dollars, By Industry (SSIC 2020)",Economy & Prices,"Labour, Employment, Wages and Productivity",Productivity,https://tablebuilder.singstat.gov.sg/table/TS/M015701,17/03/2024 20:28:35
Multifactor Productivity: Contributions To Growth In Real GDP,Economy & Prices,"Labour, Employment, Wages and Productivity",Productivity,https://tablebuilder.singstat.gov.sg/table/TS/M014981,17/03/2024 20:28:35
Value Added Per Actual Hour Worked In Chained (2015) Dollars By Industry,Economy & Prices,"Labour, Employment, Wages and Productivity",Productivity,https://tablebuilder.singstat.gov.sg/table/TS/M015871,17/03/2024 20:28:35
"Value Added Per Worker At Current Prices, By Industry (SSIC 2020)",Economy & Prices,"Labour, Employment, Wages and Productivity",Productivity,https://tablebuilder.singstat.gov.sg/table/TS/M015801,17/03/2024 20:28:35
"Value Added Per Worker In Chained (2015) Dollars, By Industry (SSIC 2020)",Economy & Prices,"Labour, Employment, Wages and Productivity",Productivity,https://tablebuilder.singstat.gov.sg/table/TS/M015691,17/03/2024 20:28:35
"Average Monthly Recruitment Rate By Industry And Occupational Group, (SSIC 2020)",Economy & Prices,"Labour, Employment, Wages and Productivity",Recruitment and Resignation Rate,https://tablebuilder.singstat.gov.sg/table/TS/M184021,17/03/2024 20:28:35
"Average Monthly Resignation Rate By Industry And Occupational Group, (SSIC 2020)",Economy & Prices,"Labour, Employment, Wages and Productivity",Recruitment and Resignation Rate,https://tablebuilder.singstat.gov.sg/table/TS/M184031,17/03/2024 20:28:35
Retrenched Employees By Industry (SSIC 2020) And Occupational Group,Economy & Prices,"Labour, Employment, Wages and Productivity",Redundancy,https://tablebuilder.singstat.gov.sg/table/TS/M183911,17/03/2024 20:28:35
Retrenched Permanent Employees By Industry (SSIC 2020) And Occupational Group,Economy & Prices,"Labour, Employment, Wages and Productivity",Redundancy,https://tablebuilder.singstat.gov.sg/table/TS/M183881,17/03/2024 20:28:35
Retrenched Term Contract Employees By Industry (SSIC 2020) And Occupational Group,Economy & Prices,"Labour, Employment, Wages and Productivity",Redundancy,https://tablebuilder.singstat.gov.sg/table/TS/M183921,17/03/2024 20:28:35
"Singapore Workforce Skills Qualifications (WSQ) Trainees By Age, Highest Qualification Attained, And Sex",Economy & Prices,"Labour, Employment, Wages and Productivity",Training,https://tablebuilder.singstat.gov.sg/table/TS/M183091,17/03/2024 20:28:35
Singapore Workforce Skills Qualifications (WSQ) Trainees By Level Of WSQ Statement Of Attainment,Economy & Prices,"Labour, Employment, Wages and Productivity",Training,https://tablebuilder.singstat.gov.sg/table/TS/M183101,17/03/2024 20:28:35
"Average Resident Unemployment Rate By Sex, Age And Highest Qualification Attained",Economy & Prices,"Labour, Employment, Wages and Productivity",Unemployment,https://tablebuilder.singstat.gov.sg/table/TS/M183401,17/03/2024 20:28:35
"Unemployed Residents Aged 15 Years And Over By Sex, (June)",Economy & Prices,"Labour, Employment, Wages and Productivity",Unemployment,https://tablebuilder.singstat.gov.sg/table/TS/M184081,17/03/2024 20:28:35
Unemployment Rate (End Of Period),Economy & Prices,"Labour, Employment, Wages and Productivity",Unemployment,https://tablebuilder.singstat.gov.sg/table/TS/M182341,17/03/2024 20:28:35
"Unemployment Rate Aged 15 Years And Over, End June",Economy & Prices,"Labour, Employment, Wages and Productivity",Unemployment,https://tablebuilder.singstat.gov.sg/table/TS/M182332,17/03/2024 20:28:35
Unit Labour Cost Index (2015 = 100),Economy & Prices,"Labour, Employment, Wages and Productivity",Unit Labour Cost (ULC),https://tablebuilder.singstat.gov.sg/table/TS/M183741,17/03/2024 20:28:35
Average Monthly Nominal Earnings Per Employee,Economy & Prices,"Labour, Employment, Wages and Productivity",Wages and Income from Employment,https://tablebuilder.singstat.gov.sg/table/TS/M182931,17/03/2024 20:28:35
Average Weekly Paid Hours Worked Per Employee By Industry,Economy & Prices,"Labour, Employment, Wages and Productivity",Wages and Income from Employment,https://tablebuilder.singstat.gov.sg/table/TS/M184061,17/03/2024 20:28:35
"Changes In Average Monthly Nominal Earnings Per Employee, (Compared To The Same Period A Year Ago)",Economy & Prices,"Labour, Employment, Wages and Productivity",Wages and Income from Employment,https://tablebuilder.singstat.gov.sg/table/TS/M182561,17/03/2024 20:28:35
Gross Monthly Income From Employment (Including Employer CPF) Of Full-Time Employed Residents,Economy & Prices,"Labour, Employment, Wages and Productivity",Wages and Income from Employment,https://tablebuilder.singstat.gov.sg/table/TS/M182981,17/03/2024 20:28:35
"Median Gross Monthly Income From Employment (Including Employer CPF) Of Full-Time Employed Residents By Occupations And Sex, End June",Economy & Prices,"Labour, Employment, Wages and Productivity",Wages and Income from Employment,https://tablebuilder.singstat.gov.sg/table/TS/M920131,17/03/2024 20:28:35
Composite Leading Index (2015 = 100),Economy & Prices,Leading Indicators,Composite Leading Index (CLI),https://tablebuilder.singstat.gov.sg/table/TS/M240421,17/03/2024 20:28:35
Consumption Of Fixed Capital At Current Prices,Economy & Prices,National Accounts,Capital Stock,https://tablebuilder.singstat.gov.sg/table/TS/M015591,17/03/2024 20:28:35
Consumption Of Fixed Capital In Chained (2015) Dollars,Economy & Prices,National Accounts,Capital Stock,https://tablebuilder.singstat.gov.sg/table/TS/M015581,17/03/2024 20:28:35
Gross Capital Stock At Current Prices By Type Of Assets,Economy & Prices,National Accounts,Capital Stock,https://tablebuilder.singstat.gov.sg/table/TS/M015071,17/03/2024 20:28:35
Gross Capital Stock In Chained (2015) Dollars By Type Of Assets,Economy & Prices,National Accounts,Capital Stock,https://tablebuilder.singstat.gov.sg/table/TS/M014991,17/03/2024 20:28:35
Net Capital Stock At Current Prices By Type Of Assets,Economy & Prices,National Accounts,Capital Stock,https://tablebuilder.singstat.gov.sg/table/TS/M015081,17/03/2024 20:28:35
Net Capital Stock In Chained (2015) Dollars By Type Of Assets,Economy & Prices,National Accounts,Capital Stock,https://tablebuilder.singstat.gov.sg/table/TS/M015001,17/03/2024 20:28:35
Compensation Of Employees By Industry At Current Prices,Economy & Prices,National Accounts,Compensation of Employees,https://tablebuilder.singstat.gov.sg/table/TS/M015971,17/03/2024 20:28:35
Expenditure On Gross Domestic Product At Current Prices,Economy & Prices,National Accounts,Expenditure on Gross Domestic Product (GDP),https://tablebuilder.singstat.gov.sg/table/TS/M014871,17/03/2024 20:28:35
Expenditure On Gross Domestic Product Deflators (2015 = 100),Economy & Prices,National Accounts,Expenditure on Gross Domestic Product (GDP),https://tablebuilder.singstat.gov.sg/table/TS/M015111,17/03/2024 20:28:35
Expenditure On Gross Domestic Product In Chained (2015) Dollars,Economy & Prices,National Accounts,Expenditure on Gross Domestic Product (GDP),https://tablebuilder.singstat.gov.sg/table/TS/M014811,17/03/2024 20:28:35
Share Of Expenditure On Gross Domestic Product At Current Prices,Economy & Prices,National Accounts,Expenditure on Gross Domestic Product (GDP),https://tablebuilder.singstat.gov.sg/table/TS/M015531,17/03/2024 20:28:35
Individual And Collective Government Consumption Expenditure At Current Prices,Economy & Prices,National Accounts,Government Consumption Expenditure,https://tablebuilder.singstat.gov.sg/table/TS/M016121,17/03/2024 20:28:35
"Contribution To Growth In Gross Domestic Product In Chained (2015) Dollars, By Industry (SSIC 2020)",Economy & Prices,National Accounts,Gross Domestic Product (GDP),https://tablebuilder.singstat.gov.sg/table/TS/M015671,17/03/2024 20:28:35
"Gross Domestic Product At Current Prices, By Industry (SSIC 2020)",Economy & Prices,National Accounts,Gross Domestic Product (GDP),https://tablebuilder.singstat.gov.sg/table/TS/M015651,17/03/2024 20:28:35
"Gross Domestic Product Deflators (2015 = 100), By Industry (SSIC 2020)",Economy & Prices,National Accounts,Gross Domestic Product (GDP),https://tablebuilder.singstat.gov.sg/table/TS/M015681,17/03/2024 20:28:35
