Event Title,Date,Location,Status,URL,Date_of_check
S.E.A. Focus 2023,06 - 15 Jan 2023,"39 Keppel Road, Tanjong Pagar Distripark, Singapore 089065",ENDED,https://thesmartlocal.com/read/sea-focus-2023/,31/03/2024 14:13:10
Disney100 At Jewel Changi,13 Jan - 09 Apr 2023,"Jewel Changi Airport, 78 Airport Boulevard., Singapore 819666",ENDED,https://thesmartlocal.com/read/disney100-jewel-changi-airport/,31/03/2024 14:13:10
Bay Spring Carnival 2023,13 - 29 Jan 2023,"Bayfront Event Space, 12A Bayfront Avenue, Singapore 018970",ENDED,https://thesmartlocal.com/read/bay-spring-carnival-2023/,31/03/2024 14:13:10
Tiger Brokers What Would Tiger Do 2023,14 - 15 Jan 2023,"10 Penang Road, Visual Arts Centre, Singapore 238469",ENDED,https://thesmartlocal.com/read/tiger-brokers-wwtd-2023/,31/03/2024 14:13:10
Istana Open House,23 Jan 2023,"Orchard Road, Singapore 238823",ENDED,https://thesmartlocal.com/read/istana-open-house-2023/,31/03/2024 14:13:10
Disney'S Frozen The Hit Broadway Musical,05 Feb - 19 Mar 2023,"Sands Theatre, 4 Bayfront Avenue, B1, Singapore 018973",ENDED,https://thesmartlocal.com/read/frozen-musical-singapore/,31/03/2024 14:13:10
Chatuchak Night Market Singapore 2023,07 Feb - 02 Apr 2023,"200 Turf Club Road, The Grandstand South Carpark, Singapore 287994",ENDED,https://thesmartlocal.com/read/chatuchak-night-market-singapore-2023/,31/03/2024 14:13:10
29Rooms Singapore,10 Feb - 16 Apr 2023,"Gardens by the Bay, 18 Marina Gardens Drive, Singapore 018953",ENDED,https://thesmartlocal.com/read/29rooms-singapore/,31/03/2024 14:13:10
NUS Master Of Science (Audiology) Open Day 2022,11 Feb 2023,"14 Medical Drive, National University of Singapore, Block MD6, Level 2 (Audiology SMART Classroom), Singapore 117599",ENDED,https://thesmartlocal.com/read/sinus-infection-hearing-loss/,31/03/2024 14:13:10
Harry Potter And The Order Of The Phoenix In Concert,17 - 18 Feb 2023,"Esplanade Theatre, 1 Esplanade Drive, Singapore 038981",ENDED,https://thesmartlocal.com/read/harry-potter-concert-singapore/,31/03/2024 14:13:10
The Klook Express At Japan Travel Fair 2023,24 - 26 Feb 2023,"Suntec City West, Level 1 #327-328 (outside Uniqlo)",ENDED,https://thesmartlocal.com/read/japan-travel-fair-2023-promos/,31/03/2024 14:13:10
Artbox 2023,24 Feb - 05 Mar 2023,"Singapore Expo Hall 6, 1 Expo Drive, Singapore 486041",ENDED,https://thesmartlocal.com/read/artbox-2023/,31/03/2024 14:13:10
The Centrepoint Bootcamp Challenge & Sports Marathon,10 - 25 Mar 2023,"176 Orchard Road, Singapore 238843",ENDED,https://thesmartlocal.com/read/the-centrepoint-fitness-classes/,31/03/2024 14:13:10
Gardens By The Bay Sakura,11 Mar - 09 Apr 2023,"18 Marina Gardens Drive, Gardens by the Bay, Singapore 018953",ENDED,https://thesmartlocal.com/read/gardens-by-the-bay-sakura/,31/03/2024 14:13:10
Geylang Serai Bazaar,23 Mar - 22 Apr 2023,"1 Geylang Serai, Singapore 402001",ENDED,https://thesmartlocal.com/read/geylang-serai-bazaar-2023/,31/03/2024 14:13:10
Trash To Treasures Miniature Exhibition,14 - 23 Apr 2023,"302 Tiong Bahru Road, Tiong Bahru Plaza (BreadTalk entrance), Singapore 168732",ENDED,https://thesmartlocal.com/read/trash-to-treasures-miniature-exhibition/,31/03/2024 14:13:10
Tulipmania: Origins Of The Tulip,21 Apr - 21 May 2023,"Flower Dome, Gardens by the Bay, 18 Marina Gardens Drive, Singapore 018953",ENDED,https://thesmartlocal.com/read/gardens-by-the-bay-tulipmania/,31/03/2024 14:13:10
Changi Village Outdoor Murder Mystery RPG,22 - 30 Apr 2023,"Lorong Bekukong, Changi Point Waterfront Park",ENDED,https://thesmartlocal.com/read/changi-village-murder-mystery-rpg/,31/03/2024 14:13:10
Walk Beyond With Johnnie Walker,26 - 30 Apr 2023,"250 Orchard Road, Design Orchard, Singapore 238905",ENDED,https://thesmartlocal.com/read/johnnie-walker-walk-beyond/,31/03/2024 14:13:10
AECC Study Abroad Education Fair 2023,07 May 2023,"Marina Bay Sands Convention Centre, Level 3, Cassia Jr",ENDED,https://thesmartlocal.com/read/aecc-study-abroad-education-fair-2023/,31/03/2024 14:13:10
New Exhibitions At SAM @ Tanjong Pagar Distripark,18 May - 24 Sep 2023,"39 Keppel Rd, Tanjong Pagar Distripark, Singapore 089065",ENDED,https://thesmartlocal.com/read/sam-tanjong-pagar-distripark-exhibitions/,31/03/2024 14:13:10
Dear Tampines By Our Tampines Hub,27 May - 07 Jun 2023,"1 Tampines Walk, Singapore 528523",ENDED,https://thesmartlocal.com/read/our-tampines-hub-carnivals/,31/03/2024 14:13:10
Naruto 20th Anniversary Exhibition,29 May - 02 Jul 2023,"6 Raffles Boulevard, #03-208/209 Marina Square, Singapore 039594",ENDED,https://thesmartlocal.com/read/naruto-20th-anniversary-exhibition-singapore/,31/03/2024 14:13:10
I Light Singapore 2023,01 - 25 Jun 2023,"Marina Bay, South Beach & Millenia Walk",ENDED,https://thesmartlocal.com/read/i-light-singapore-2023/,31/03/2024 14:13:10
Carnival By The Straits 2023,10 Jun 2023,"43 Admiralty Road West, SAF Yacht Club, Singapore 759962",ENDED,https://thesmartlocal.com/read/carnival-by-the-straits/,31/03/2024 14:13:10
L’Occitane Hotel Pop-Up,28 Jun - 09 Jul 2023,"252 North Bridge Road, #01-01 Raffles City, Singapore 179103",ENDED,https://thesmartlocal.com/read/loccitane-pop-up-2023/,31/03/2024 14:13:10
Stranger Things - The Encounter,30 Jun - 01 Oct 2023,"201 Victoria Street, Level 2 Bugis+, Sinagpore 188067",ENDED,https://thesmartlocal.com/read/stranger-things-the-encounter/,31/03/2024 14:13:10
LEGO BTS Dynamite Experience,07 - 16 Jul 2023,"Along 391A Orchard Road, Ngee Ann City, Singapore 238873",ENDED,https://thesmartlocal.com/read/lego-bts-dynamite-experience/,31/03/2024 14:13:10
Youth Corps Community Fair,16 Jul 2023,"113 Somerset Road, The Red Box, Singapore 238165",ENDED,https://thesmartlocal.com/read/do-good-fest-2023/,31/03/2024 14:13:10
Singapore Food Festival 2023,19 - 30 Jul 2023,"12A Bayfront Ave, Singapore 018970",ENDED,https://thesmartlocal.com/read/singapore-food-festival-2023/,31/03/2024 14:13:10
“Itsy Bitsy Teenie Weenie Super Mini Thingy Exhibition,21 Jul - 06 Aug 2023,"409 Race Course Road, #03-01A, Singapore 218657",ENDED,https://thesmartlocal.com/read/miniature-exhibition-farrer-park/,31/03/2024 14:13:10
Majulah Fiesta 2023,03 - 09 Aug 2023,"1 Stadium Drive, Kallang, Singapore 271003",ENDED,https://thesmartlocal.com/read/majulah-fiesta-2023/,31/03/2024 14:13:10
Films At The Fort 2023,03 - 20 Aug 2023,"Fort Canning Green, River Valley Road, Singapore 179037",ENDED,https://thesmartlocal.com/read/films-at-the-fort-2023/,31/03/2024 14:13:10
The Centrepoint’S Artsy National Day Event Has SG-Themed Tokidoki & Miniature Models Of Local Sights ,04 Aug - 03 Sep 2023,"176 Orchard Road, The Centrepoint, Level 1 Atrium, Singapore 238843",ENDED,https://thesmartlocal.com/read/the-centrepoint-national-day-2023/,31/03/2024 14:13:10
Singapore Night Festival 2023,18 - 26 Aug 2023,"93 Stamford Road, Singapore 178897",ENDED,https://thesmartlocal.com/read/singapore-night-festival-2023/,31/03/2024 14:13:10
Wan Qing Mid-Autumn Festival 2023,29 Aug - 01 Oct 2023,"12 Tai Gin Road, Singapore 327874",ENDED,https://thesmartlocal.com/read/wan-qing-mid-autumn-festival-2023/,31/03/2024 14:13:10
Garden Of Lights At VivoCity,31 Aug - 01 Oct 2023,"1 HarbourFront Walk, Singapore 098585",ENDED,https://thesmartlocal.com/read/vivocity-mid-autumn-festival-2023/,31/03/2024 14:13:10
