Event Title,Date,Location,URL,Date_of_check
STACK Developer Conference 2024,06 Nov 24 - 07 Nov 24,Sands Expo and Convention Centre,https://www.developer.tech.gov.sg/communities/events/conferences/stack-developer-conference-2024,27/05/2024 14:49:28
STACKx Smart City 2024,27 Mar 24 - 27 Mar 24,Suntec Convention Centre,https://www.developer.tech.gov.sg/communities/events/conferences/stackx-smart-city-2024,27/05/2024 14:49:28
STACKx Data & AI 2023,18 Jul 23 - 18 Jul 23,Suntec Singapore Convention and Exhibition Centre (Summit 1),https://www.developer.tech.gov.sg/communities/events/conferences/stackx-data-ai-2023,27/05/2024 14:49:28
STACK 2022 Developer Conference,15 Nov 22 - 16 Nov 22,In-person/virtual event,https://www.developer.tech.gov.sg/communities/events/conferences/stack-2022-developer-conference,27/05/2024 14:49:28
STACK-X Data Science Connect 2022,07 Jul 22 - 08 Jul 22,Online event,https://www.developer.tech.gov.sg/communities/events/conferences/stack-x-data-science-connect-2022,27/05/2024 14:49:28
STACK-X Cloud 2021,17 Nov 21 - 17 Nov 21,Hive Center,https://www.developer.tech.gov.sg/communities/events/conferences/stack-x-cloud-2021,27/05/2024 14:49:28
STACK-X CI/CD 2021,11 May 21 - 11 May 21,Online (via Zoom),https://www.developer.tech.gov.sg/communities/events/conferences/stack-x-ci-cd-2021,27/05/2024 14:49:28
"STACK the Flags – An Online, Jeopardy! Style Capture-the-Flag (CTF) Competition",04 Dec 20 - 04 Dec 20,Online (via Zoom),https://www.developer.tech.gov.sg/communities/events/conferences/stack-the-flags-2020,27/05/2024 14:49:28
STACK 2020,01 Dec 20 - 01 Dec 20,Online (via Zoom),https://www.developer.tech.gov.sg/communities/events/conferences/stack-2020,27/05/2024 14:49:28
