Date,Location
2021-12-14,West
2021-12-15,West
2021-12-16,West
2021-12-17,West
2021-12-18,West
2021-12-19,West
2021-12-20,West
2021-12-21,West
2021-12-22,West
2021-12-23,West
2021-12-24,West
2021-12-25,West
2021-12-26,West
2021-12-27,West
2021-12-28,West
2021-12-29,West
2021-12-30,West
2021-12-31,West
2022-01-01,West
2022-01-02,West
2021-11-26,West
2021-11-27,West
2021-11-28,West
2021-11-29,West
2021-11-30,West
2021-12-01,West
2021-12-02,West
2021-12-03,West
2021-12-04,West
2021-12-05,West
2021-12-06,West
2021-12-07,West
2021-12-08,West
2021-12-09,West
2021-12-10,West
2021-12-11,West
2021-12-12,West
2021-12-13,West
2021-12-14,West
2021-12-15,West
2021-12-16,West
2021-12-17,West
2021-12-18,West
2021-12-19,West
2021-12-20,West
2021-12-21,West
2021-12-22,West
2021-12-23,West
2021-12-24,West
2021-12-25,West
2020-01-21,West
2020-01-22,West
2020-01-23,West
2020-01-24,West
2020-01-25,West
2020-01-26,West
2020-01-27,West
2020-01-28,West
2020-01-29,West
2020-01-30,West
2020-01-31,West
2020-02-01,West
2020-02-02,West
2020-02-03,West
2020-02-04,West
2020-02-05,West
2020-02-06,West
2020-02-07,West
2020-02-08,West
2020-02-09,West
2020-02-10,West
2020-02-11,West
2020-02-12,West
2020-02-13,West
2020-02-14,West
2020-02-15,West
2020-02-16,West
2020-02-17,West
2020-02-18,West
2020-02-19,West
2020-02-20,West
2020-02-21,West
2020-02-22,West
2020-02-23,West
2020-02-24,West
2020-02-25,West
2020-02-26,West
2020-02-27,West
2020-02-28,West
2020-02-29,West
2020-03-01,West
2020-03-02,West
2020-03-03,West
2020-03-04,West
2020-03-05,West
2020-03-06,West
2020-03-07,West
2020-03-08,West
2020-03-09,West
2020-03-10,West
2020-03-11,West
2020-03-12,West
2020-03-13,West
2020-03-14,West
2020-03-15,West
2020-03-16,West
2020-03-17,West
2020-03-18,West
2020-03-19,West
2020-03-20,West
2020-03-21,West
2020-03-22,West
2019-07-06,West
2019-08-01,West
2019-08-02,West
2019-08-03,West
2019-08-04,West
2019-08-05,West
2019-08-06,West
2019-08-07,West
2019-08-08,West
2019-08-09,West
2019-08-10,West
2019-08-11,West
2019-08-12,West
2019-08-13,West
2019-08-14,West
2019-08-15,West
2019-08-16,West
2019-08-17,West
2019-08-18,West
2019-08-19,West
2019-08-20,West
2019-08-21,West
2019-08-16,West
2019-08-17,West
2019-08-18,West
2019-08-19,West
2019-08-20,West
2019-08-21,West
2019-08-22,West
2019-08-23,West
2019-08-24,West
2019-08-25,West
2019-08-26,West
2019-08-27,West
2019-08-28,West
2019-08-29,West
2019-08-30,West
2019-08-31,West
2019-09-01,West
2019-09-02,West
2019-09-03,West
2019-09-04,West
2019-09-05,West
2019-09-06,West
2019-09-07,West
2019-09-08,West
2019-09-09,West
2019-09-10,West
2019-09-11,West
2019-09-12,West
2019-09-13,West
2019-09-14,West
2019-09-15,West
2019-10-14,West
2019-10-15,West
2019-10-16,West
2019-10-17,West
2019-10-18,West
2019-10-19,West
2019-10-20,West
2019-11-02,West
2019-11-03,West
2019-11-15,West
2019-11-16,West
2019-11-17,West
2019-11-18,West
2019-11-19,West
2019-11-20,West
2019-11-21,West
2019-11-22,West
2019-11-23,West
2019-11-24,West
2019-11-25,West
2019-11-26,West
2019-11-27,West
2019-11-28,West
2019-11-29,West
2019-11-30,West
2019-12-01,West
2019-12-02,West
2019-12-03,West
2019-12-04,West
2019-12-05,West
2019-12-06,West
2019-12-07,West
2019-12-08,West
2019-12-09,West
2019-12-10,West
2019-12-11,West
2019-12-12,West
2019-12-13,West
2019-12-14,West
2019-12-15,West
2019-12-16,West
2019-12-17,West
2019-12-18,West
2019-12-19,West
2019-12-20,West
2019-12-21,West
2019-12-22,West
2019-12-23,West
2019-12-24,West
2019-12-25,West
2019-12-26,West
